gendistrict,category,count
BAYVIEW,LARCENY/THEFT,2354
BAYVIEW,BURGLARY,520
BAYVIEW,OTHER OFFENSES,2339
BAYVIEW,SUSPICIOUS OCC,610
BAYVIEW,RUNAWAY,30
BAYVIEW,WARRANTS,540
BAYVIEW,PROSTITUTION,3
BAYVIEW,VEHICLE THEFT,1080
BAYVIEW,GAMBLING,4
BAYVIEW,WEAPON LAWS,306
BAYVIEW,MISSING PERSON,481
BAYVIEW,NON-CRIMINAL,1305
BAYVIEW,ASSAULT,1773
BAYVIEW,EXTORTION,8
BAYVIEW,DISORDERLY CONDUCT,48
BAYVIEW,SECONDARY CODES,250
BAYVIEW,"SEX OFFENSES, NON FORCIBLE",2
BAYVIEW,DRUNKENNESS,27
BAYVIEW,TRESPASS,124
BAYVIEW,STOLEN PROPERTY,59
BAYVIEW,LOITERING,2
BAYVIEW,FAMILY OFFENSES,10
BAYVIEW,DRIVING UNDER THE INFLUENCE,27
BAYVIEW,LIQUOR LAWS,20
BAYVIEW,"SEX OFFENSES, FORCIBLE",86
BAYVIEW,BAD CHECKS,4
BAYVIEW,EMBEZZLEMENT,23
BAYVIEW,SUICIDE,4
BAYVIEW,RECOVERED VEHICLE,196
BAYVIEW,BRIBERY,20
BAYVIEW,KIDNAPPING,60
BAYVIEW,FRAUD,127
BAYVIEW,VANDALISM,1058
BAYVIEW,DRUG/NARCOTIC,327
BAYVIEW,ARSON,71
BAYVIEW,ROBBERY,315
BAYVIEW,FORGERY/COUNTERFEITING,38
CENTRAL,ARSON,29
CENTRAL,EXTORTION,6
CENTRAL,TRESPASS,173
CENTRAL,EMBEZZLEMENT,20
CENTRAL,DRUG/NARCOTIC,206
CENTRAL,DRUNKENNESS,52
CENTRAL,STOLEN PROPERTY,155
CENTRAL,RUNAWAY,6
CENTRAL,NON-CRIMINAL,2303
CENTRAL,MISSING PERSON,286
CENTRAL,RECOVERED VEHICLE,39
CENTRAL,GAMBLING,1
CENTRAL,VEHICLE THEFT,481
CENTRAL,KIDNAPPING,13
CENTRAL,FAMILY OFFENSES,1
CENTRAL,DRIVING UNDER THE INFLUENCE,31
CENTRAL,BRIBERY,3
CENTRAL,BURGLARY,643
CENTRAL,LIQUOR LAWS,10
CENTRAL,SUSPICIOUS OCC,578
CENTRAL,ASSAULT,1179
CENTRAL,LARCENY/THEFT,6726
CENTRAL,VANDALISM,1145
CENTRAL,"SEX OFFENSES, FORCIBLE",86
CENTRAL,ROBBERY,395
CENTRAL,SUICIDE,10
CENTRAL,DISORDERLY CONDUCT,32
CENTRAL,OTHER OFFENSES,1726
CENTRAL,FRAUD,401
CENTRAL,WEAPON LAWS,121
CENTRAL,PROSTITUTION,28
CENTRAL,BAD CHECKS,3
CENTRAL,SECONDARY CODES,137
CENTRAL,LOITERING,10
CENTRAL,WARRANTS,477
CENTRAL,FORGERY/COUNTERFEITING,80
INGLESIDE,"SEX OFFENSES, FORCIBLE",88
INGLESIDE,SECONDARY CODES,233
INGLESIDE,LOITERING,3
INGLESIDE,BAD CHECKS,2
INGLESIDE,TRESPASS,74
INGLESIDE,FORGERY/COUNTERFEITING,42
INGLESIDE,WARRANTS,303
INGLESIDE,FRAUD,142
INGLESIDE,PROSTITUTION,8
INGLESIDE,WEAPON LAWS,157
INGLESIDE,RECOVERED VEHICLE,103
INGLESIDE,LIQUOR LAWS,13
INGLESIDE,FAMILY OFFENSES,7
INGLESIDE,DRIVING UNDER THE INFLUENCE,31
INGLESIDE,STOLEN PROPERTY,56
INGLESIDE,EMBEZZLEMENT,6
INGLESIDE,TREA,1
INGLESIDE,EXTORTION,8
INGLESIDE,ARSON,22
INGLESIDE,PORNOGRAPHY/OBSCENE MAT,1
INGLESIDE,DRUG/NARCOTIC,191
INGLESIDE,"SEX OFFENSES, NON FORCIBLE",3
INGLESIDE,DRUNKENNESS,18
INGLESIDE,ASSAULT,1495
INGLESIDE,ROBBERY,312
INGLESIDE,SUICIDE,16
INGLESIDE,OTHER OFFENSES,1850
INGLESIDE,DISORDERLY CONDUCT,14
INGLESIDE,NON-CRIMINAL,1232
INGLESIDE,MISSING PERSON,534
INGLESIDE,VEHICLE THEFT,915
INGLESIDE,GAMBLING,5
INGLESIDE,RUNAWAY,13
INGLESIDE,LARCENY/THEFT,1777
INGLESIDE,SUSPICIOUS OCC,525
INGLESIDE,BURGLARY,534
INGLESIDE,VANDALISM,760
INGLESIDE,KIDNAPPING,39
INGLESIDE,BRIBERY,8
MISSION,SUICIDE,3
MISSION,TRESPASS,412
MISSION,ARSON,46
MISSION,LARCENY/THEFT,3319
MISSION,SUSPICIOUS OCC,943
MISSION,PROSTITUTION,87
MISSION,LIQUOR LAWS,30
MISSION,FAMILY OFFENSES,14
MISSION,EXTORTION,7
MISSION,EMBEZZLEMENT,24
MISSION,FRAUD,314
MISSION,SECONDARY CODES,227
MISSION,BAD CHECKS,2
MISSION,RUNAWAY,5
MISSION,ASSAULT,2106
MISSION,DISORDERLY CONDUCT,170
MISSION,STOLEN PROPERTY,104
MISSION,OTHER OFFENSES,2981
MISSION,LOITERING,6
MISSION,ROBBERY,546
MISSION,KIDNAPPING,35
MISSION,"SEX OFFENSES, NON FORCIBLE",3
MISSION,VEHICLE THEFT,931
MISSION,MISSING PERSON,531
MISSION,GAMBLING,2
MISSION,DRUNKENNESS,101
MISSION,VANDALISM,1091
MISSION,FORGERY/COUNTERFEITING,84
MISSION,DRUG/NARCOTIC,638
MISSION,NON-CRIMINAL,2250
MISSION,BRIBERY,10
MISSION,DRIVING UNDER THE INFLUENCE,61
MISSION,"SEX OFFENSES, FORCIBLE",179
MISSION,BURGLARY,789
MISSION,WARRANTS,1068
MISSION,WEAPON LAWS,278
MISSION,RECOVERED VEHICLE,61
NORTHERN,LOITERING,10
NORTHERN,SECONDARY CODES,193
NORTHERN,WEAPON LAWS,130
NORTHERN,DISORDERLY CONDUCT,124
NORTHERN,BAD CHECKS,4
NORTHERN,PROSTITUTION,111
NORTHERN,DRUG/NARCOTIC,524
NORTHERN,NON-CRIMINAL,2042
NORTHERN,KIDNAPPING,23
NORTHERN,RUNAWAY,8
NORTHERN,BRIBERY,4
NORTHERN,BURGLARY,801
NORTHERN,SUSPICIOUS OCC,597
NORTHERN,LARCENY/THEFT,7215
NORTHERN,DRUNKENNESS,59
NORTHERN,"SEX OFFENSES, NON FORCIBLE",3
NORTHERN,ASSAULT,1535
NORTHERN,STOLEN PROPERTY,122
NORTHERN,VANDALISM,1197
NORTHERN,VEHICLE THEFT,737
NORTHERN,RECOVERED VEHICLE,70
NORTHERN,FAMILY OFFENSES,5
NORTHERN,DRIVING UNDER THE INFLUENCE,40
NORTHERN,LIQUOR LAWS,13
NORTHERN,"SEX OFFENSES, FORCIBLE",96
NORTHERN,ROBBERY,388
NORTHERN,SUICIDE,14
NORTHERN,ARSON,27
NORTHERN,EXTORTION,1
NORTHERN,EMBEZZLEMENT,9
NORTHERN,TRESPASS,268
NORTHERN,OTHER OFFENSES,2211
NORTHERN,FORGERY/COUNTERFEITING,93
NORTHERN,WARRANTS,622
NORTHERN,FRAUD,364
NORTHERN,MISSING PERSON,394
PARK,PROSTITUTION,2
PARK,TRESPASS,79
PARK,ROBBERY,121
PARK,NON-CRIMINAL,1239
PARK,WARRANTS,317
PARK,SUSPICIOUS OCC,269
PARK,RUNAWAY,31
PARK,LIQUOR LAWS,10
PARK,EMBEZZLEMENT,4
PARK,MISSING PERSON,639
PARK,VEHICLE THEFT,452
PARK,BURGLARY,412
PARK,DRIVING UNDER THE INFLUENCE,27
PARK,RECOVERED VEHICLE,29
PARK,VANDALISM,454
PARK,KIDNAPPING,8
PARK,EXTORTION,4
PARK,BRIBERY,1
PARK,SUICIDE,5
PARK,ARSON,13
PARK,DRUG/NARCOTIC,274
PARK,WEAPON LAWS,65
PARK,DISORDERLY CONDUCT,18
PARK,DRUNKENNESS,13
PARK,"SEX OFFENSES, NON FORCIBLE",3
PARK,STOLEN PROPERTY,37
PARK,"SEX OFFENSES, FORCIBLE",50
PARK,SECONDARY CODES,92
PARK,LARCENY/THEFT,2221
PARK,FRAUD,157
PARK,OTHER OFFENSES,1082
PARK,ASSAULT,524
PARK,BAD CHECKS,2
PARK,FORGERY/COUNTERFEITING,21
PdDistrict,Category,1
RICHMOND,"SEX OFFENSES, NON FORCIBLE",2
RICHMOND,LIQUOR LAWS,8
RICHMOND,FAMILY OFFENSES,3
RICHMOND,DRIVING UNDER THE INFLUENCE,34
RICHMOND,KIDNAPPING,8
RICHMOND,NON-CRIMINAL,1245
RICHMOND,PROSTITUTION,5
RICHMOND,RECOVERED VEHICLE,35
RICHMOND,SUICIDE,4
RICHMOND,LOITERING,1
RICHMOND,STOLEN PROPERTY,48
RICHMOND,BRIBERY,1
RICHMOND,OTHER OFFENSES,1013
RICHMOND,FORGERY/COUNTERFEITING,44
RICHMOND,WEAPON LAWS,56
RICHMOND,ARSON,14
RICHMOND,FRAUD,200
RICHMOND,EMBEZZLEMENT,4
RICHMOND,ROBBERY,101
RICHMOND,EXTORTION,5
RICHMOND,TRESPASS,49
RICHMOND,DRUG/NARCOTIC,76
RICHMOND,SECONDARY CODES,117
RICHMOND,MISSING PERSON,229
RICHMOND,DISORDERLY CONDUCT,9
RICHMOND,"SEX OFFENSES, FORCIBLE",39
RICHMOND,ASSAULT,472
RICHMOND,VEHICLE THEFT,515
RICHMOND,VANDALISM,477
RICHMOND,WARRANTS,172
RICHMOND,DRUNKENNESS,17
RICHMOND,BAD CHECKS,5
RICHMOND,BURGLARY,395
RICHMOND,SUSPICIOUS OCC,355
RICHMOND,RUNAWAY,8
RICHMOND,LARCENY/THEFT,3126
SOUTHERN,"SEX OFFENSES, NON FORCIBLE",9
SOUTHERN,ASSAULT,2349
SOUTHERN,DRUNKENNESS,88
SOUTHERN,SECONDARY CODES,254
SOUTHERN,SUICIDE,6
SOUTHERN,BRIBERY,8
SOUTHERN,LARCENY/THEFT,9193
SOUTHERN,NON-CRIMINAL,3389
SOUTHERN,VANDALISM,1439
SOUTHERN,RUNAWAY,10
SOUTHERN,BAD CHECKS,6
SOUTHERN,WEAPON LAWS,306
SOUTHERN,"SEX OFFENSES, FORCIBLE",176
SOUTHERN,DRUG/NARCOTIC,923
SOUTHERN,OTHER OFFENSES,3329
SOUTHERN,MISSING PERSON,612
SOUTHERN,PROSTITUTION,262
SOUTHERN,RECOVERED VEHICLE,109
SOUTHERN,FAMILY OFFENSES,4
SOUTHERN,DISORDERLY CONDUCT,141
SOUTHERN,STOLEN PROPERTY,195
SOUTHERN,KIDNAPPING,34
SOUTHERN,DRIVING UNDER THE INFLUENCE,66
SOUTHERN,TRESPASS,390
SOUTHERN,VEHICLE THEFT,612
SOUTHERN,SUSPICIOUS OCC,959
SOUTHERN,GAMBLING,4
SOUTHERN,ARSON,33
SOUTHERN,FRAUD,479
SOUTHERN,FORGERY/COUNTERFEITING,126
SOUTHERN,BURGLARY,841
SOUTHERN,EXTORTION,8
SOUTHERN,WARRANTS,1357
SOUTHERN,LOITERING,9
SOUTHERN,ROBBERY,588
SOUTHERN,EMBEZZLEMENT,32
SOUTHERN,LIQUOR LAWS,20
SOUTHERN,TREA,1
TARAVAL,PORNOGRAPHY/OBSCENE MAT,1
TARAVAL,WARRANTS,269
TARAVAL,TRESPASS,109
TARAVAL,BAD CHECKS,6
TARAVAL,LOITERING,1
TARAVAL,SECONDARY CODES,231
TARAVAL,WEAPON LAWS,106
TARAVAL,PROSTITUTION,116
TARAVAL,FRAUD,277
TARAVAL,DISORDERLY CONDUCT,18
TARAVAL,OTHER OFFENSES,1743
TARAVAL,SUICIDE,4
TARAVAL,"SEX OFFENSES, FORCIBLE",82
TARAVAL,ROBBERY,180
TARAVAL,RECOVERED VEHICLE,48
TARAVAL,BRIBERY,4
TARAVAL,ASSAULT,917
TARAVAL,KIDNAPPING,18
TARAVAL,LARCENY/THEFT,2600
TARAVAL,SUSPICIOUS OCC,446
TARAVAL,BURGLARY,693
TARAVAL,VANDALISM,622
TARAVAL,RUNAWAY,27
TARAVAL,VEHICLE THEFT,538
TARAVAL,NON-CRIMINAL,1420
TARAVAL,MISSING PERSON,437
TARAVAL,DRIVING UNDER THE INFLUENCE,47
TARAVAL,FAMILY OFFENSES,6
TARAVAL,LIQUOR LAWS,20
TARAVAL,DRUNKENNESS,49
TARAVAL,DRUG/NARCOTIC,108
TARAVAL,STOLEN PROPERTY,52
TARAVAL,ARSON,18
TARAVAL,EMBEZZLEMENT,15
TARAVAL,TREA,1
TARAVAL,EXTORTION,10
TARAVAL,"SEX OFFENSES, NON FORCIBLE",14
TARAVAL,FORGERY/COUNTERFEITING,37
TENDERLOIN,SECONDARY CODES,98
TENDERLOIN,STOLEN PROPERTY,52
TENDERLOIN,DRUNKENNESS,41
TENDERLOIN,TRESPASS,131
TENDERLOIN,"SEX OFFENSES, NON FORCIBLE",1
TENDERLOIN,LIQUOR LAWS,12
TENDERLOIN,FORGERY/COUNTERFEITING,46
TENDERLOIN,WARRANTS,728
TENDERLOIN,LARCENY/THEFT,1822
TENDERLOIN,FRAUD,149
TENDERLOIN,PROSTITUTION,18
TENDERLOIN,WEAPON LAWS,131
TENDERLOIN,SUICIDE,3
TENDERLOIN,"SEX OFFENSES, FORCIBLE",43
TENDERLOIN,BURGLARY,161
TENDERLOIN,SUSPICIOUS OCC,475
TENDERLOIN,ROBBERY,351
TENDERLOIN,OTHER OFFENSES,1234
TENDERLOIN,PORNOGRAPHY/OBSCENE MAT,2
TENDERLOIN,FAMILY OFFENSES,3
TENDERLOIN,VANDALISM,338
TENDERLOIN,DISORDERLY CONDUCT,81
TENDERLOIN,DRIVING UNDER THE INFLUENCE,12
TENDERLOIN,VEHICLE THEFT,153
TENDERLOIN,GAMBLING,4
TENDERLOIN,KIDNAPPING,18
TENDERLOIN,BRIBERY,6
TENDERLOIN,NON-CRIMINAL,1372
TENDERLOIN,MISSING PERSON,168
TENDERLOIN,RUNAWAY,2
TENDERLOIN,DRUG/NARCOTIC,967
TENDERLOIN,RECOVERED VEHICLE,45
TENDERLOIN,ARSON,13
TENDERLOIN,EMBEZZLEMENT,20
TENDERLOIN,EXTORTION,2
TENDERLOIN,ASSAULT,1194
,LARCENY/THEFT,1
