gendistrict,hood
BAYVIEW,Outer Sunset
BAYVIEW,Bernal Heights
BAYVIEW,Castro/Upper Market
BAYVIEW,Visitacion Valley
BAYVIEW,Mission
BAYVIEW,Inner Richmond
BAYVIEW,Potrero Hill
BAYVIEW,Excelsior
BAYVIEW,Inner Sunset
BAYVIEW,Bayview
BAYVIEW,Outer Richmond
BAYVIEW,South of Market
BAYVIEW,Lakeshore
CENTRAL,Downtown/Civic Center
CENTRAL,Nob Hill
CENTRAL,Chinatown
CENTRAL,Russian Hill
CENTRAL,South of Market
CENTRAL,North Beach
CENTRAL,Financial District
CENTRAL,Marina
INGLESIDE,West of Twin Peaks
INGLESIDE,Excelsior
INGLESIDE,Mission
INGLESIDE,Diamond Heights
INGLESIDE,Noe Valley
INGLESIDE,Outer Mission
INGLESIDE,Glen Park
INGLESIDE,Castro/Upper Market
INGLESIDE,Twin Peaks
INGLESIDE,Bernal Heights
INGLESIDE,Visitacion Valley
INGLESIDE,Bayview
INGLESIDE,Crocker Amazon
INGLESIDE,Ocean View
MISSION,South of Market
MISSION,Twin Peaks
MISSION,Noe Valley
MISSION,Castro/Upper Market
MISSION,Bernal Heights
MISSION,Mission
MISSION,Diamond Heights
MISSION,Inner Sunset
NORTHERN,South of Market
NORTHERN,Russian Hill
NORTHERN,North Beach
NORTHERN,Pacific Heights
NORTHERN,Western Addition
NORTHERN,Downtown/Civic Center
NORTHERN,Mission
NORTHERN,Presidio
NORTHERN,Castro/Upper Market
NORTHERN,Nob Hill
NORTHERN,Marina
PARK,West of Twin Peaks
PARK,Diamond Heights
PARK,Haight Ashbury
PARK,Castro/Upper Market
PARK,Downtown/Civic Center
PARK,Western Addition
PARK,Golden Gate Park
PARK,Twin Peaks
PARK,Inner Richmond
PARK,Presidio Heights
PARK,Noe Valley
PARK,Inner Sunset
PARK,Outer Sunset
PdDistrict,hood
RICHMOND,Presidio
RICHMOND,Outer Sunset
RICHMOND,Haight Ashbury
RICHMOND,Inner Richmond
RICHMOND,Presidio Heights
RICHMOND,Treasure Island/YBI
RICHMOND,Western Addition
RICHMOND,Pacific Heights
RICHMOND,Outer Richmond
RICHMOND,Golden Gate Park
RICHMOND,Seacliff
SOUTHERN,South of Market
SOUTHERN,Treasure Island/YBI
SOUTHERN,Mission
SOUTHERN,West of Twin Peaks
SOUTHERN,North Beach
SOUTHERN,Western Addition
SOUTHERN,Bayview
SOUTHERN,Financial District
SOUTHERN,Potrero Hill
SOUTHERN,Downtown/Civic Center
TARAVAL,Inner Sunset
TARAVAL,Outer Sunset
TARAVAL,Lakeshore
TARAVAL,Ocean View
TARAVAL,Parkside
TARAVAL,Outer Mission
TARAVAL,Golden Gate Park
TARAVAL,West of Twin Peaks
TENDERLOIN,South of Market
TENDERLOIN,Bayview
TENDERLOIN,Financial District
TENDERLOIN,Downtown/Civic Center
